UnivID,UnivName,UnivLoc,Year,Tag Line,UK Rank,World Class Rank,CWURScore,Min Ielts Score ,Avg fees UG (in pounds),Avg fees PG ,International student percent,Student Satisfication Percent,Enrolled students,Teaching Staff,Type ,note,Campus Locality, Living Expenses per year(in pounds) ,Latitude,Longitude,Website,Chance of Admission
2001,University of Cambridge,East of England,1209,"From here, light and sacred draughts",1,4,94.1,6.5,21750," £23,187.00 ",20.20%,85.50%,"20,000-24,999","over-5,000",Public,Trimesters,Urban," £12,000.00 ",52.2054,0.1132,www.cam.ac.uk,1
2002,University of Oxford,South East England,1096,The Lord is my light,2,2,93.3,6.5,21770," £23,187.00 ",16.80%,86.50%,"25,000-29,999","over-5,000",Public,Trimesters,Urban," £11,500.00 ",51.7548,-1.2544,www.ox.ac.uk,0.67
2003,University of St Andrews,Scotland,1413,Ever to excel,3,86,75.8,6.5,17040," £23,187.00 ",40.40%,87.90%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban," £12,000.00 ",56.3417,-2.7943,www.st-andrews.ac.uk,0.52
2004,Imperial College London,London,1907,Knowledge is the adornment and safeguard of the Empire,4,8,86.6,6.5,23500," £23,187.00 ",41.40%,77.90%,"15,000-19,999","4,000-4,499",Public,Continuous,Urban," £10,700.00 ",51.4988,-0.1749,www.ic.ac.uk,0.49
2005,Loughborough University,East Midlands,1966,"With Truth, Knowledge and Labour",5,404,72.8,5.5,16400," £23,187.00 ",22.00%,85.80%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban," £9,398.00 ",52.765,-1.2321,www.lboro.ac.uk/,0.6
2006,London School of Economics and Political Science,London,1895,To know the causes of things,6,23,76.3,6.5,17040," £23,187.00 ",46.80%,68.50%,"10,000-14,999","1,500-1,999",Public,Semesters,Urban," £12,000.00 ",51.5144,-0.1165,www.lse.ac.uk,0.34
2007,Durham University,North East England,1832,Her foundations are upon the holy hills,7,70,76.3,5.5,14900," £23,187.00 ",17.20%,75.00%,"15,000-19,999","1,500-1,999",Public,Trimesters,Urban," £8,000.00 ",54.765,-1.5782,www.dur.ac.uk,0.63
2008,Lancaster University,North West England,1964,Truth lies open to all,8,130,76.1,5.5,14940," £23,187.00 ",29.60%,79.30%,"10,000-14,999","2,000-2,499",Public,Trimesters,Rural," £8,500.00 ",54.0104,-2.7877,www.lancs.ac.uk,0.21
2009,University College London,London,1826,Let all come who by merit most deserve reward,9,14,88,6.5,15660," £23,187.00 ",36.10%,75.40%,"40,000-44,999","over-5,000",Public,Other,Urban," £11,500.00 ",51.5246,-0.134,www.ucl.ac.uk,0.55
2010,University of Warwick,West Midlands,1965,Mind Moves matter,10,80,79.3,5.5,15820," £23,187.00 ",28.30%,79.20%,"25,000-29,999","2,500-2,999",Public,Trimesters,Suburban," £9,580.00 ",52.3793,-1.5615,www.warwick.ac.uk,0.47
2011,University of Bath,South West England,1966,Learn each field of study according to its kind,11,261,74.8,5.5,14300," £23,187.00 ",21.70%,81.80%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban," £11,000.00 ",51.3782,-2.3264,www.bath.ac.uk,0.1
2012,University of Exeter,South West England,1955,We follow the light,12,93,77.4,5.5,15500," £23,187.00 ",21.20%,80.10%,"25,000-29,999","2,500-2,999",Public,Semesters,Suburban," £8,400.00 ",50.7371,-3.5351,www.exeter.ac.uk,0.77
2013,University of Leeds,Yorkshire and the Humber,1904,And Knowledge Will Be Increased,13,133,81.6,5.5,13500," £23,187.00 ",11.80%,80.40%,"35,000-39,999","3,500-3,999",Public,Semesters,Urban," £7,000.00 ",53.8067,-1.555,www.leeds.ac.uk,0.59
2014,University of Birmingham,West Midlands,1900,"Through hard work, great heights are achieved",14,119,82.6,5.5,13860," £23,187.00 ",12.70%,77.90%,"35,000-39,999","4,000-4,499",Public,Continuous,Urban," £9,000.00 ",52.4508,-1.9305,www.bham.ac.uk,0.35
2015,University of Bristol,South West England,1909,Learning promotes one's innate power,15,69,82,5.5,15200," £23,187.00 ",14.90%,77.20%,"25,000-29,999","3,000-3,499",Public,Semesters,Urban," £7,000.00 ",51.4584,-2.603,www.bris.ac.uk,0.63
2016,University of Glasgow,Scotland,1451,"The Way, the Truth and the Life",16,76,80.7,5.5,14500," £23,187.00 ",20.80%,78.20%,"30,000-34,999","4,000-4,499",Public,Semesters,Urban," £8,000.00 ",55.8724,-4.29,www.gla.ac.uk,0.49
